program executed sucessfully with return code: 0
clock :82 fetch (sw 4 8 0)  decode (add 4 8 0)  execute (NOPE)  write_back(NOPE ) 

clock :83 fetch (sw 4 8 0)  decode (NOPE)  execute (add 4 8 0)  write_back(NOPE ) 

clock :84 fetch (sw 4 8 0)  decode (NOPE)  execute (NOPE)  write_back (add 4 4 0) 

clock :85 fetch (sw 4 4 0)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :86 fetch (addi 4 0 4)  decode (sw 4 0 4)  execute (NOPE)  write_back(NOPE ) 

clock :87 fetch (addi 4 0 4)  decode (NOPE)  execute (sw 4 0 4)  write_back(NOPE ) 

clock :88 fetch (addi 4 0 4)  decode (NOPE)  execute (NOPE)  write_back (sw 4 0 4) 

clock :89 fetch (addi 4 0 4)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :90 fetch (bne 4 0 0)  decode (addi 4 0 0)  execute (NOPE)  write_back(NOPE ) 

clock :91 fetch (bne 4 0 0)  decode (NOPE)  execute (addi 4 0 0)  write_back(NOPE ) 

clock :92 fetch (bne 4 0 0)  decode (NOPE)  execute (NOPE)  write_back (addi 0 0 0) 

clock :93 fetch (bne 0 0 0)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :94 fetch (lw 0 0 4)  decode (bne 0 0 4)  execute (NOPE)  write_back(NOPE ) 

clock :95 fetch (lw 0 0 4)  decode (NOPE)  execute (bne) Flush the pipeline
clock :97 fetch (NOP) decode (NOP) execute (NOP) write-back (NOP) Program exit. 

Program ended with error code :0
